Full Name,University Code,National ID,Academic Year,Section Number
Eslam Kamal,1234567891231,1234567891231,4,2
Ayman Osama,1234567891232,1234567891232,1,2
Karem Mohamed,1234567891233,1234567891233,3,4
Mohamed Tamer,1234567891234,1234567891234,2,5
Karem AbdelSalam,1234567891235,1234567891235,1,4
Ahmed Fawzy,1234567891236,1234567891236,3,1
Ahmed Ali,1234567891237,1234567891237,4,5
Mohamed Ahmed,1234567891238,1234567891238,1,6
Mostafa Mohamed,1234567891239,1234567891239,3,7
Ashraf Galal,1234567891241,1234567891241,3,1
Fathi Mohamed,1234567891242,1234567891242,1,2
Ahmed Abdo,1234567891243,1234567891243,2,3
Karem Mohamed,1234567891244,1234567891244,1,4
Mohamed Adel,1234567891245,1234567891245,2,5
Mahmoud Ahmed ,1234567891246,1234567891246,2,1
