Full Name,University Code,National ID,Departments
Nabil Mostafa,11111100000000,11111100000000,is
Eslam Samy,22222200000000,22222200000000,is
Lamyaa Fayed,33333300000000,33333300000000,is
Wafaa Tawfik,44444400000000,44444400000000,is
Gawaher Soliman,55555500000000,55555500000000,is
Soaad Mohammad,66666600000000,66666600000000,is
Asmaa Hanafy,77777700000000,77777700000000,is
Safa Alsaid,88888800000000,88888800000000,is
Mohamed Maher,99999900000000,99999900000000,is
Aliaa Ahmed,11111110000000,11111110000000,is
Riham Hassan,22222220000000,22222220000000,is
Ahmed Samy,33333330000000,33333330000000,is
Kareem Ahmed,44444440000000,44444440000000,is
